Year,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,
1994,Round of 16,Saudi Arabia,1,3,Sweden, ,
1994,Round of 16,Romania,3,2,Argentina, ,
1994,Round of 16,Netherlands,2,0,"rn"">Republic of Ireland", ,
1994,Round of 16,Brazil,1,0,USA, ,
1994,Round of 16,Nigeria,1,2,Italy,Italy win after extra time ,
1994,Round of 16,Mexico,1,1,Bulgaria,Bulgaria win on penalties (1 - 3) ,
1994,Quarter-finals,Italy,2,1,Spain, ,
1994,Quarter-finals,Netherlands,2,3,Brazil, ,
1994,Quarter-finals,Bulgaria,2,1,Germany, ,
1994,Quarter-finals,Romania,2,2,Sweden,Sweden win on penalties (4 - 5) ,
1994,Semi-finals,Bulgaria,1,2,Italy, ,
1994,Semi-finals,Sweden,0,1,Brazil, ,
1994,Match for third place,Sweden,4,0,Bulgaria, ,
1994,Final,Brazil,0,0,Italy,Brazil win on penalties (3 - 2) ,
1998,Group A,Brazil,2,1,Scotland, ,
1998,Group A,Morocco,2,2,Norway, ,
1998,Group B,Italy,2,2,Chile, ,
1998,Group B,Cameroon,1,1,Austria, ,
1998,Group D,Paraguay,0,0,Bulgaria, ,
1998,Group C,Saudi Arabia,0,1,Denmark, ,
1998,Group C,France,3,0,South Africa, ,
1998,Group D,Spain,2,3,Nigeria, ,
1998,Group E,Korea Republic,1,3,Mexico, ,
1998,Group E,Netherlands,0,0,Belgium, ,
1998,Group H,Argentina,1,0,Japan, ,
1998,Group F,Yugoslavia,1,0,Iran, ,
1998,Group H,Jamaica,1,3,Croatia, ,
1998,Group G,England,2,0,Tunisia, ,
1998,Group G,Romania,1,0,Colombia, ,
1998,Group F,Germany,2,0,USA, ,
1998,Group A,Scotland,1,1,Norway, ,
1998,Group A,Brazil,3,0,Morocco, ,
1998,Group B,Chile,1,1,Austria, ,
1998,Group B,Italy,3,0,Cameroon, ,
1998,Group C,South Africa,1,1,Denmark, ,
1998,Group C,France,4,0,Saudi Arabia, ,
1998,Group D,Nigeria,1,0,Bulgaria, ,
1998,Group D,Spain,0,0,Paraguay, ,
1998,Group H,Japan,0,1,Croatia, ,
1998,Group E,Belgium,2,2,Mexico, ,
1998,Group E,Netherlands,5,0,Korea Republic, ,
1998,Group F,Germany,2,2,Yugoslavia, ,
1998,Group H,Argentina,5,0,Jamaica, ,
1998,Group F,USA,1,2,Iran, ,
1998,Group G,Colombia,1,0,Tunisia, ,
1998,Group G,Romania,2,1,England, ,
1998,Group B,Italy,2,1,Austria, ,
1998,Group B,Chile,1,1,Cameroon, ,
1998,Group A,Scotland,0,3,Morocco, ,
1998,Group A,Brazil,1,2,Norway, ,
1998,Group C,France,2,1,Denmark, ,
1998,Group C,South Africa,2,2,Saudi Arabia, ,
1998,Group D,Spain,6,1,Bulgaria, ,
1998,Group D,Nigeria,1,3,Paraguay, ,
1998,Group E,Belgium,1,1,Korea Republic, ,
1998,Group E,Netherlands,2,2,Mexico, ,
1998,Group F,Germany,2,0,Iran, ,
1998,Group F,USA,0,1,Yugoslavia, ,
1998,Group H,Japan,1,2,Jamaica, ,
1998,Group H,Argentina,1,0,Croatia, ,
1998,Group G,Romania,1,1,Tunisia, ,
1998,Group G,Colombia,0,2,England, ,
1998,Round of 16,Italy,1,0,Norway, ,
1998,Round of 16,Brazil,4,1,Chile, ,
1998,Round of 16,France,1,0,Paraguay,France win after extra time ,
1998,Round of 16,Nigeria,1,4,Denmark, ,
1998,Round of 16,Germany,2,1,Mexico, ,
1998,Round of 16,Netherlands,2,1,Yugoslavia, ,
1998,Round of 16,Romania,0,1,Croatia, ,
1998,Round of 16,Argentina,2,2,England,Argentina win on penalties (4 - 3) ,
1998,Quarter-finals,Italy,0,0,France,France win on penalties (3 - 4) ,
1998,Quarter-finals,Brazil,3,2,Denmark, ,
1998,Quarter-finals,Netherlands,2,1,Argentina, ,
1998,Quarter-finals,Germany,0,3,Croatia, ,
1998,Semi-finals,Brazil,1,1,Netherlands,Brazil win on penalties (4 - 2) ,
1998,Semi-finals,France,2,1,Croatia, ,
1998,Match for third place,Netherlands,1,2,Croatia, ,
1998,Final,Brazil,0,3,France, ,
2002,Group A,France,0,1,Senegal, ,
2002,Group A,Uruguay,1,2,Denmark, ,
2002,Group E,"rn"">Republic of Ireland",1,1,Cameroon, ,
2002,Group E,Germany,8,0,Saudi Arabia, ,
2002,Group F,Argentina,1,0,Nigeria, ,
2002,Group B,Paraguay,2,2,South Africa, ,
2002,Group F,England,1,1,Sweden, ,
2002,Group B,Spain,3,1,Slovenia, ,
2002,Group C,Brazil,2,1,Turkey, ,
2002,Group G,Italy,2,0,Ecuador, ,
2002,Group G,Croatia,0,1,Mexico, ,
2002,Group C,China PR,0,2,Costa Rica, ,
2002,Group H,Japan,2,2,Belgium, ,
2002,Group D,Korea Republic,2,0,Poland, ,
2002,Group H,Russia,2,0,Tunisia, ,
2002,Group D,USA,3,2,Portugal, ,
2002,Group E,Germany,1,1,"rn"">Republic of Ireland", ,
2002,Group A,Denmark,1,1,Senegal, ,
2002,Group E,Cameroon,1,0,Saudi Arabia, ,
2002,Group A,France,0,0,Uruguay, ,
2002,Group F,Sweden,2,1,Nigeria, ,
2002,Group F,Argentina,0,1,England, ,
2002,Group B,Spain,3,1,Paraguay, ,
2002,Group B,South Africa,1,0,Slovenia, ,
2002,Group C,Brazil,4,0,China PR, ,
2002,Group G,Italy,1,2,Croatia, ,
2002,Group C,Costa Rica,1,1,Turkey, ,
2002,Group H,Japan,1,0,Russia, ,
2002,Group G,Mexico,2,1,Ecuador, ,
2002,Group D,Korea Republic,1,1,USA, ,
2002,Group D,Portugal,4,0,Poland, ,
2002,Group H,Tunisia,1,1,Belgium, ,
2002,Group A,Denmark,2,0,France, ,
2002,Group A,Senegal,3,3,Uruguay, ,
2002,Group E,Saudi Arabia,0,3,"rn"">Republic of Ireland", ,
2002,Group E,Cameroon,0,2,Germany, ,
2002,Group F,Sweden,1,1,Argentina, ,
2002,Group F,Nigeria,0,0,England, ,
2002,Group B,Slovenia,1,3,Paraguay, ,
2002,Group B,South Africa,2,3,Spain, ,
2002,Group C,Costa Rica,2,5,Brazil, ,
2002,Group C,Turkey,3,0,China PR, ,
2002,Group G,Ecuador,1,0,Croatia, ,
2002,Group G,Mexico,1,1,Italy, ,
2002,Group H,Tunisia,0,2,Japan, ,
2002,Group D,Portugal,0,1,Korea Republic, ,
2002,Group D,Poland,3,1,USA, ,
2002,Group H,Belgium,3,2,Russia, ,
2002,Round of 16,Denmark,0,3,England, ,
2002,Round of 16,Germany,1,0,Paraguay, ,
2002,Round of 16,Spain,1,1,"rn"">Republic of Ireland",Spain win on penalties (3 - 2) ,
2002,Round of 16,Sweden,1,2,Senegal,Win on Golden Goal ,
2002,Round of 16,Brazil,2,0,Belgium, ,
2002,Round of 16,Mexico,0,2,USA, ,
2002,Round of 16,Japan,0,1,Turkey, ,
2002,Round of 16,Korea Republic,2,1,Italy,Win on Golden Goal ,
2002,Quarter-finals,England,1,2,Brazil, ,
2002,Quarter-finals,Germany,1,0,USA, ,
2002,Quarter-finals,Senegal,0,1,Turkey,Win on Golden Goal ,
2002,Quarter-finals,Spain,0,0,Korea Republic,Korea Republic win on penalties (3 - 5) ,
2002,Semi-finals,Germany,1,0,Korea Republic, ,
2002,Semi-finals,Brazil,1,0,Turkey, ,
2002,Third place,Korea Republic,2,3,Turkey, ,
2002,Final,Germany,0,2,Brazil, ,
2006,Group A,Germany,4,2,Costa Rica, ,
2006,Group A,Poland,0,2,Ecuador, ,
2006,Group B,England,1,0,Paraguay, ,
2006,Group B,"rn"">Trinidad and Tobago",0,0,Sweden, ,
2006,Group C,Argentina,2,1,C???te d'Ivoire, ,
2006,Group C,"rn"">Serbia and Montenegro",0,1,Netherlands, ,
2006,Group D,Mexico,3,1,Iran, ,
2006,Group D,Angola,0,1,Portugal, ,
2006,Group F,Australia,3,1,Japan, ,
2006,Group E,USA,0,3,Czech Republic, ,
2006,Group E,Italy,2,0,Ghana, ,
2006,Group G,Korea Republic,2,1,Togo, ,
2006,Group G,France,0,0,Switzerland, ,
2006,Group F,Brazil,1,0,Croatia, ,
2006,Group H,Spain,4,0,Ukraine, ,
2006,Group H,Tunisia,2,2,Saudi Arabia, ,
2006,Group A,Germany,1,0,Poland, ,
2006,Group A,Ecuador,3,0,Costa Rica, ,
2006,Group B,England,2,0,"rn"">Trinidad and Tobago", ,
2006,Group B,Sweden,1,0,Paraguay, ,
2006,Group C,Argentina,6,0,"rn"">Serbia and Montenegro", ,
2006,Group C,Netherlands,2,1,C???te d'Ivoire, ,
2006,Group D,Mexico,0,0,Angola, ,
2006,Group D,Portugal,2,0,IR Iran, ,
2006,Group E,Czech Republic,0,2,Ghana, ,
2006,Group E,Italy,1,1,USA, ,
2006,Group F,Japan,0,0,Croatia, ,
2006,Group F,Brazil,2,0,Australia, ,
2006,Group G,France,1,1,Korea Republic, ,
2006,Group G,Togo,0,2,Switzerland, ,
2006,Group H,Saudi Arabia,0,4,Ukraine, ,
2006,Group H,Spain,3,1,Tunisia, ,
2006,Group A,Ecuador,0,3,Germany, ,
2006,Group A,Costa Rica,1,2,Poland, ,
2006,Group B,Sweden,2,2,England, ,
2006,Group B,Paraguay,2,0,"rn"">Trinidad and Tobago", ,
2006,Group D,Iran,1,1,Angola, ,
2006,Group D,Portugal,2,1,Mexico, ,
2006,Group C,Netherlands,0,0,Argentina, ,
2006,Group C,C???te d'Ivoire,3,2,"rn"">Serbia and Montenegro", ,
2006,Group E,Czech Republic,0,2,Italy, ,
2006,Group E,Ghana,2,1,USA, ,
2006,Group F,Japan,1,4,Brazil, ,
2006,Group F,Croatia,2,2,Australia, ,
2006,Group H,Ukraine,1,0,Tunisia, ,
2006,Group H,Saudi Arabia,0,1,Spain, ,
2006,Group G,Togo,0,2,France, ,
2006,Group G,Switzerland,2,0,Korea Republic, ,
2006,Round of 16,Germany,2,0,Sweden, ,
2006,Round of 16,Argentina,2,1,Mexico,Argentina win after extra time ,
2006,Round of 16,England,1,0,Ecuador, ,
2006,Round of 16,Portugal,1,0,Netherlands, ,
2006,Round of 16,Italy,1,0,Australia, ,
2006,Round of 16,Switzerland,0,0,Ukraine,Ukraine win on penalties (0 - 3) ,
2006,Round of 16,Brazil,3,0,Ghana, ,
2006,Round of 16,Spain,1,3,France, ,
2006,Quarter-finals,Germany,1,1,Argentina,Germany win on penalties (4 - 2) ,
2006,Quarter-finals,Italy,3,0,Ukraine, ,
2006,Quarter-finals,England,0,0,Portugal,Portugal win on penalties (1 - 3) ,
2006,Quarter-finals,Brazil,0,1,France, ,
2006,Semi-finals,Germany,0,2,Italy,Italy win after extra time ,
2006,Semi-finals,Portugal,0,1,France, ,
2006,Third place,Germany,3,1,Portugal, ,
2006,Final,Italy,1,1,France,Italy win on penalties (5 - 3) ,
2010,Group A,South Africa,1,1,Mexico, ,
2010,Group A,Uruguay,0,0,France, ,
2010,Group B,Korea Republic,2,0,Greece, ,
2010,Group B,Argentina,1,0,Nigeria, ,
2010,Group C,England,1,1,USA, ,
2010,Group C,Algeria,0,1,Slovenia, ,
2010,Group D,Serbia,0,1,Ghana, ,
2010,Group D,Germany,4,0,Australia, ,
2010,Group E,Netherlands,2,0,Denmark, ,
2010,Group E,Japan,1,0,Cameroon, ,
2010,Group F,Italy,1,1,Paraguay, ,
2010,Group F,New Zealand,1,1,Slovakia, ,
2010,Group G,C???te d'Ivoire,0,0,Portugal, ,
2010,Group G,Brazil,2,1,Korea DPR, ,
2010,Group H,Honduras,0,1,Chile, ,
2010,Group H,Spain,0,1,Switzerland, ,
2010,Group A,South Africa,0,3,Uruguay, ,
2010,Group B,Argentina,4,1,Korea Republic, ,
2010,Group B,Greece,2,1,Nigeria, ,
2010,Group A,France,0,2,Mexico, ,
2010,Group D,Germany,0,1,Serbia, ,
2010,Group C,Slovenia,2,2,USA, ,
2010,Group C,England,0,0,Algeria, ,
2010,Group E,Netherlands,1,0,Japan, ,
2010,Group D,Ghana,1,1,Australia, ,
2010,Group E,Cameroon,1,2,Denmark, ,
2010,Group F,Slovakia,0,2,Paraguay, ,
2010,Group F,Italy,1,1,New Zealand, ,
2010,Group G,Brazil,3,1,C???te d'Ivoire, ,
2010,Group G,Portugal,7,0,Korea DPR, ,
2010,Group H,Chile,1,0,Switzerland, ,
2010,Group H,Spain,2,0,Honduras, ,
2010,Group A,Mexico,0,1,Uruguay, ,
2010,Group A,France,1,2,South Africa, ,
2010,Group B,Nigeria,2,2,Korea Republic, ,
2010,Group B,Greece,0,2,Argentina, ,
2010,Group C,Slovenia,0,1,England, ,
2010,Group C,USA,1,0,Algeria, ,
2010,Group D,Ghana,0,1,Germany, ,
2010,Group D,Australia,2,1,Serbia, ,
2010,Group F,Slovakia,3,2,Italy, ,
2010,Group F,Paraguay,0,0,New Zealand, ,
2010,Group E,Denmark,1,3,Japan, ,
2010,Group E,Cameroon,1,2,Netherlands, ,
2010,Group G,Portugal,0,0,Brazil, ,
2010,Group G,Korea DPR,0,3,C???te d'Ivoire, ,
2010,Group H,Chile,1,2,Spain, ,
2010,Group H,Switzerland,0,0,Honduras, ,
2010,Round of 16,Uruguay,2,1,Korea Republic, ,
2010,Round of 16,USA,1,2,Ghana,Ghana win after extra time ,
2010,Round of 16,Germany,4,1,England, ,
2010,Round of 16,Argentina,3,1,Mexico, ,
2010,Round of 16,Netherlands,2,1,Slovakia, ,
2010,Round of 16,Brazil,3,0,Chile, ,
2010,Round of 16,Paraguay,0,0,Japan,Paraguay win on penalties (5 - 3) ,
2010,Round of 16,Spain,1,0,Portugal, ,
2010,Quarter-finals,Netherlands,2,1,Brazil, ,
2010,Quarter-finals,Uruguay,1,1,Ghana,Uruguay win on penalties (4 - 2) ,
2010,Quarter-finals,Argentina,0,4,Germany, ,
2010,Quarter-finals,Paraguay,0,1,Spain, ,
2010,Semi-finals,Uruguay,2,3,Netherlands, ,
2010,Semi-finals,Germany,0,1,Spain, ,
2010,Match for third place,Uruguay,2,3,Germany, ,
2010,Final,Netherlands,0,1,Spain,Spain win after extra time ,
2014,Group A,Brazil,3,1,Croatia, ,
2014,Group A,Mexico,1,0,Cameroon, ,
2014,Group B,Spain,1,5,Netherlands, ,
2014,Group B,Chile,3,1,Australia, ,
2014,Group C,Colombia,3,0,Greece, ,
2014,Group D,Uruguay,1,3,Costa Rica, ,
2014,Group D,England,1,2,Italy, ,
2014,Group C,C???te d'Ivoire,2,1,Japan, ,
2014,Group E,Switzerland,2,1,Ecuador, ,
2014,Group E,France,3,0,Honduras, ,
2014,Group F,Argentina,2,1,"rn"">Bosnia and Herzegovina", ,
2014,Group G,Germany,4,0,Portugal, ,
2014,Group F,IR Iran,0,0,Nigeria, ,
2014,Group G,Ghana,1,2,USA, ,
2014,Group H,Belgium,2,1,Algeria, ,
2014,Group A,Brazil,0,0,Mexico, ,
2014,Group H,Russia,1,1,Korea Republic, ,
2014,Group B,Australia,2,3,Netherlands, ,
2014,Group B,Spain,0,2,Chile, ,
2014,Group A,Cameroon,0,4,Croatia, ,
2014,Group C,Colombia,2,1,C???te d'Ivoire, ,
2014,Group D,Uruguay,2,1,England, ,
2014,Group C,Japan,0,0,Greece, ,
2014,Group D,Italy,0,1,Costa Rica, ,
2014,Group E,Switzerland,2,5,France, ,
2014,Group E,Honduras,1,2,Ecuador, ,
2014,Group F,Argentina,1,0,IR Iran, ,
2014,Group G,Germany,2,2,Ghana, ,
2014,Group F,Nigeria,1,0,"rn"">Bosnia and Herzegovina", ,
2014,Group H,Belgium,1,0,Russia, ,
2014,Group H,Korea Republic,2,4,Algeria, ,
2014,Group G,USA,2,2,Portugal, ,
2014,Group B,Australia,0,3,Spain, ,
2014,Group B,Netherlands,2,0,Chile, ,
2014,Group A,Cameroon,1,4,Brazil, ,
2014,Group A,Croatia,1,3,Mexico, ,
2014,Group D,Italy,0,1,Uruguay, ,
2014,Group D,Costa Rica,0,0,England, ,
2014,Group C,Japan,1,4,Colombia, ,
2014,Group C,Greece,2,1,C???te d'Ivoire, ,
2014,Group F,Nigeria,2,3,Argentina, ,
2014,Group F,"rn"">Bosnia and Herzegovina",3,1,IR Iran, ,
2014,Group E,Honduras,0,3,Switzerland, ,
2014,Group E,Ecuador,0,0,France, ,
2014,Group G,USA,0,1,Germany, ,
2014,Group G,Portugal,2,1,Ghana, ,
2014,Group H,Korea Republic,0,1,Belgium, ,
2014,Group H,Algeria,1,1,Russia, ,
2014,Round of 16,Brazil,1,1,Chile,Brazil win on penalties (3 - 2) ,
2014,Round of 16,Colombia,2,0,Uruguay, ,
2014,Round of 16,France,2,0,Nigeria, ,
2014,Round of 16,Germany,2,1,Algeria,Germany win after extra time ,
2014,Quarter-finals,Brazil,2,1,Colombia, ,
2014,Quarter-finals,France,0,1,Germany, ,
2014,Semi-finals,Brazil,1,7,Germany, ,
2014,Play-off for third place,Brazil,0,3,Netherlands, ,
2014,Final,Germany,1,0,Argentina,Germany win after extra time ,
2014,Semi-finals,Netherlands,0,0,Argentina,Argentina win on penalties (2 - 4) ,
2014,Quarter-finals,Netherlands,0,0,Costa Rica,Netherlands win on penalties (4 - 3) ,
2014,Quarter-finals,Argentina,1,0,Belgium, ,
2014,Round of 16,Netherlands,2,1,Mexico, ,
2014,Round of 16,Costa Rica,1,1,Greece,Costa Rica win on penalties (5 - 3) ,
2014,Round of 16,Argentina,1,0,Switzerland,Argentina win after extra time ,
2014,Round of 16,Belgium,2,1,USA,Belgium win after extra time ,
2014,Round of 16,Brazil,1,1,Chile,Brazil win on penalties (3 - 2) ,
2014,Round of 16,Colombia,2,0,Uruguay, ,
2014,Round of 16,Netherlands,2,1,Mexico, ,
2014,Round of 16,Costa Rica,1,1,Greece,Costa Rica win on penalties (5 - 3) ,
2014,Round of 16,France,2,0,Nigeria, ,
2014,Round of 16,Germany,2,1,Algeria,Germany win after extra time ,
2014,Round of 16,Argentina,1,0,Switzerland,Argentina win after extra time ,
2014,Round of 16,Belgium,2,1,USA,Belgium win after extra time ,
2014,Quarter-finals,France,0,1,Germany, ,
2014,Quarter-finals,Brazil,2,1,Colombia, ,
2014,Quarter-finals,Argentina,1,0,Belgium, ,
2014,Quarter-finals,Netherlands,0,0,Costa Rica,Netherlands win on penalties (4 - 3) ,
2014,Semi-finals,Brazil,1,7,Germany, ,
2014,Semi-finals,Netherlands,0,0,Argentina,Argentina win on penalties (2 - 4) ,
2014,Play-off for third place,Brazil,0,3,Netherlands, ,
2014,Final,Germany,1,0,Argentina,Germany win after extra time ,
2018,group stage,Russia,5,0,Saudi Arabia,,
2018,group stage,Egypt,0,1,Uruguay,,
2018,group stage,Morocco,0,1,Iran,,
2018,group stage,Portugal,3,3,Spain,,
2018,group stage,France,2,1,Australia,,
2018,group stage,Argentina,1,1,Iceland,,
2018,group stage,Peru,0,1,Denmark,,
2018,group stage,Croatia,2,0,Nigeria,,
2018,group stage,Costa Rica,0,1,Serbia,,
2018,group stage,Germany,0,1,Mexico,,
2018,group stage,Brazil,1,1,Switzerland,,
2018,group stage,Sweden,1,0,South Korea,,
2018,group stage,Belgium,3,0,Panama,,
2018,group stage,Tunisia,1,2,England,,
2018,group stage,Colombia,1,2,Japan,,
2018,group stage,Poland,1,2,Senegal,,
2018,group stage,Russia,3,1,Egypt,,
2018,group stage,Portugal,1,0,Morocco,,
2018,group stage,Uruguay,1,0,Saudi Arabia,,
2018,group stage,Iran,0,1,Spain,,
2018,group stage,Denmark,1,1,Australia,,
2018,group stage,France,1,0,Peru,,
2018,group stage,Argentina,0,3,Croatia,,
2018,group stage,Brazil,2,0,Costa Rica,,
2018,group stage,Nigeria,2,0,Iceland,,
2018,group stage,Serbia,1,2,Switzerland,,
2018,group stage,Belgium,5,2,Tunisia,,
2018,group stage,South Korea,1,2,Mexico,,
2018,group stage,Germany,2,1,Sweden,,
2018,group stage,England,6,1,Panama,,
2018,group stage,Japan,2,2,Senegal,,
2018,group stage,Poland,0,3,Colombia,,
2018,group stage,Saudi Arabia,2,1,Egypt,,
2018,group stage,Uruguay,3,0,Russia,,
2018,group stage,Spain,2,2,Morocco,,
2018,group stage,Iran,1,1,Portugal,,
2018,group stage,Australia,0,2,Peru,,
2018,group stage,Denmark,0,0,France,,
2018,group stage,Iceland,1,2,Croatia,,
2018,group stage,Nigeria,1,2,Argentina,,
2018,group stage,South Korea,2,0,Germany,,
2018,group stage,Mexico,0,3,Sweden,,
2018,group stage,Serbia,0,2,Brazil,,
2018,group stage,Switzerland,2,2,Costa Rica,,
2018,group stage,Japan,0,1,Poland,,
2018,group stage,Senegal,0,1,Colombia,,
2018,group stage,England,0,1,Belgium,,
2018,group stage,Panama,1,2,Tunisia,,
2018,round of 16,France,4,3,Argentina,,
2018,round of 16,Uruguay,2,1,Portugal,,
2018,round of 16,Spain,1,1,Russia,Russia win on penalties (3 - 4) ,Russia win on penalties (3 - 4) 
2018,round of 16,Croatia,1,1,Denmark,Croatia win on penalties (3 - 2) ,Croatia win on penalties (3 - 2) 
2018,round of 16,Brazil,2,0,Mexico,,
2018,round of 16,Belgium,3,2,Japan,,
2018,round of 16,Sweden,1,0,Switzerland,,
2018,round of 16,Colombia,1,1,England,England win on penalties (3 - 4) ,England win on penalties (3 - 4) 
2018,quarter-finals,Uruguay,0,2,France,,
2018,quarter-finals,Brazil,1,2,Belgium,,
2018,quarter-finals,Sweden,0,2,England,,
2018,quarter-finals,Russia,2,2,Croatia,Croatia win on penalties (3 - 4) ,Croatia win on penalties (3 - 4) 
2018,semi-finals,France,1,0,Belgium,,
2018,semi-finals,Croatia,2,1,England,Croatia win after extra time ,Croatia win after extra time 
2018,third-place match,Belgium,2,0,England,,
2018,final,France,4,2,Croatia,,
2022,group stage,Qatar,0,2,Ecuador,,
2022,group stage,England,6,2,Iran,,
2022,group stage,Senegal,0,2,Netherlands,,
2022,group stage,United States,1,1,Wales,,
2022,group stage,Argentina,1,2,Saudi Arabia,,
2022,group stage,Denmark,0,0,Tunisia,,
2022,group stage,Mexico,0,0,Poland,,
2022,group stage,France,4,1,Australia,,
2022,group stage,Morocco,0,0,Croatia,,
2022,group stage,Germany,1,2,Japan,,
2022,group stage,Spain,7,0,Costa Rica,,
2022,group stage,Belgium,1,0,Canada,,
2022,group stage,Switzerland,1,0,Cameroon,,
2022,group stage,Uruguay,0,0,South Korea,,
2022,group stage,Portugal,3,2,Ghana,,
2022,group stage,Brazil,2,0,Serbia,,
2022,group stage,Wales,0,2,Iran,,
2022,group stage,Qatar,1,3,Senegal,,
2022,group stage,Netherlands,1,1,Ecuador,,
2022,group stage,England,0,0,United States,,
2022,group stage,Tunisia,0,1,Australia,,
2022,group stage,Poland,2,0,Saudi Arabia,,
2022,group stage,France,2,1,Denmark,,
2022,group stage,Argentina,2,0,Mexico,,
2022,group stage,Japan,0,1,Costa Rica,,
2022,group stage,Belgium,0,2,Morocco,,
2022,group stage,Croatia,4,1,Canada,,
2022,group stage,Spain,1,1,Germany,,
2022,group stage,Cameroon,3,3,Serbia,,
2022,group stage,South Korea,2,3,Ghana,,
2022,group stage,Brazil,1,0,Switzerland,,
2022,group stage,Portugal,2,0,Uruguay,,
2022,group stage,Ecuador,1,2,Senegal,,
2022,group stage,Netherlands,2,0,Qatar,,
2022,group stage,Iran,0,1,United States,,
2022,group stage,Wales,0,3,England,,
2022,group stage,Australia,1,0,Denmark,,
2022,group stage,Tunisia,1,0,France,,
2022,group stage,Poland,0,2,Argentina,,
2022,group stage,Saudi Arabia,1,2,Mexico,,
2022,group stage,Canada,1,2,Morocco,,
2022,group stage,Croatia,0,0,Belgium,,
2022,group stage,Costa Rica,2,4,Germany,,
2022,group stage,Japan,2,1,Spain,,
2022,group stage,Ghana,0,2,Uruguay,,
2022,group stage,South Korea,2,1,Portugal,,
2022,group stage,Cameroon,1,0,Brazil,,
2022,group stage,Serbia,2,3,Switzerland,,
2022,round of 16,Netherlands,3,1,United States,,
2022,round of 16,Argentina,2,1,Australia,,
2022,round of 16,France,3,1,Poland,,
2022,round of 16,England,3,0,Senegal,,
2022,round of 16,Japan,1,1,Croatia,Croatia win on penalties (1 - 3) ,Croatia win on penalties (1 - 3) 
2022,round of 16,Brazil,4,1,South Korea,,
2022,round of 16,Morocco,0,0,Spain,Morocco win on penalties (1 - 3) ,Morocco win on penalties (1 - 3) 
2022,round of 16,Portugal,6,1,Switzerland,,
2022,quarter-finals,Croatia,1,1,Brazil,Croatia win on penalties (4 - 2) ,Croatia win on penalties (4 - 2) 
2022,quarter-finals,Netherlands,2,2,Argentina,Argentina win on penalties (3 - 4) ,Argentina win on penalties (3 - 4) 
2022,quarter-finals,Morocco,1,0,Portugal,,
2022,quarter-finals,England,1,2,France,,
2022,semi-finals,Argentina,3,0,Croatia,,
2022,semi-finals,France,2,0,Morocco,,
2022,third-place match,Croatia,2,1,Morocco,,
2022,final,Argentina,3,3,France,Argentina win on penalties (4 - 2) ,Argentina win on penalties (4 - 2) 
